id,source,annotator,text,tokens,ac,ap,conf,ipv,link,keyword,date
1,simulation_ipv,shr,तेरो अश्लिल फोटोहरू म सार्वजनिक गरिदिन्छु ।,"['तेरो', 'अश्लिल', 'फोटोहरू', 'म', 'सार्वजनिक', 'गरिदिन्छु', '।']","['O', 'B-general_threat', 'I-general_threat', 'O', 'B-general_threat', 'O', 'O']","['_', '0', '0', '_', '0', '_', '_']",6,1,,,
3,simulation_ipv,shr,हेर्दै जा रन्डी म तेरो लाइफ कसरी बिगार्दिन्छु |,"['हेर्दै', 'जा', 'रन्डी', 'म', 'तेरो', 'लाइफ', 'कसरी', 'बिगार्दिन्छु', '|']","['O', 'O', 'B-profanity', 'B-general_threat', 'I-general_threat', 'I-general_threat', 'I-general_threat', 'I-general_threat', 'O']","['_', '_', '0', '1', '1', '1', '1', '1', '_']",8,1,,,
4,simulation_ipv,shr,अलिकति लाज छैन है तलाई त दुनियासंग रात बिताउनि इज्जत नभएकी केटि |,"['अलिकति', 'लाज', 'छैन', 'है', 'तलाई', 'त', 'दुनियासंग', 'रात', 'बिताउनि', 'इज्जत', 'नभएकी', 'केटि', '|']","['O', 'B-profanity', 'I-profanity', 'O', 'O', 'O', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O']","['_', '0', '0', '_', '_', '_', '1', '1', '1', '1', '1', '1', '_']",6,1,,,
5,simulation_ipv,shr,"गोहीको आसु नझार कुकुर्नी , आफ्नो गल्ति लुकाउन छोरि मान्छेले आसु पहिले देखाउने गर्छन मलाई थाहा छ |","['गोहीको', 'आसु', 'नझार', 'कुकुर्नी', ',', 'आफ्नो', 'गल्ति', 'लुकाउन', 'छोरि', 'मान्छेले', 'आसु', 'पहिले', 'देखाउने', 'गर्छन', 'मलाई', 'थाहा', 'छ', '|']","['B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O', 'O', 'B-sexism', 'I-sexism', 'I-sexism', 'I-sexism', 'I-sexism', 'I-sexism', 'I-sexism', 'I-sexism', 'O', 'O', 'O', 'O']","['0', '0', '0', '0', '_', '_', '0', '0', '0', '0', '0', '0', '0', '0', '_', '_', '_', '_']",6,1,,,
6,simulation_ipv,shr,भालुनी आफुले इज्जत पाउनको लागि अरुको पनि इज्जत गर्न सिक |,"['भालुनी', 'आफुले', 'इज्जत', 'पाउनको', 'लागि', 'अरुको', 'पनि', 'इज्जत', 'गर्न', 'सिक', '|']","['B-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'O']","['0', '_', '_', '_', '_', '_', '_', '0', '0', '0', '_']",6,1,,,
7,simulation_ipv,shr,झुन्डिएर मर्नु नि के अनुहार देखाउदै हिड्छेस् भालु |,"['झुन्डिएर', 'मर्नु', 'नि', 'के', 'अनुहार', 'देखाउदै', 'हिड्छेस्', 'भालु', '|']","['B-profanity', 'I-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'B-profanity', 'O']","['1', '1', '1', '_', '_', '_', '_', '0', '_']",5,1,,,
8,simulation_ipv,shr,"बौलाई तेरो र मेरो औकात मिल्नु पर्यो हौ , कहाँ म कहाँ तँ झुटि |","['बौलाई', 'तेरो', 'र', 'मेरो', 'औकात', 'मिल्नु', 'पर्यो', 'हौ', ',', 'कहाँ', 'म', 'कहाँ', 'तँ', 'झुटि', '|']","['B-profanity', 'O', 'O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'B-profanity', 'O']","['0', '_', '_', '_', '1', '1', '1', '1', '_', '_', '_', '_', '_', '0', '_']",8,1,,,
9,simulation_ipv,shr,ओइ कुकुर्नी मेरो बेज्जत गरेर के पाहिस भन् त !,"['ओइ', 'कुकुर्नी', 'मेरो', 'बेज्जत', 'गरेर', 'के', 'पाहिस', 'भन्', 'त', '!']","['O', 'B-profanity', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['_', '0', '_', '_', '_', '_', '_', '_', '_', '_']",6,1,,,
10,simulation_ipv,shr,"बादरनी , कुकुर्नी धोका दिन्छेस् मलाई |","['बादरनी', ',', 'कुकुर्नी', 'धोका', 'दिन्छेस्', 'मलाई', '|']","['B-profanity', 'I-profanity', 'I-profanity', 'O', 'O', 'O', 'O']","['0', '0', '0', '_', '_', '_', '_']",5,1,,,
11,simulation_ipv,shr,नौटंकी पैसाको लागि आफ्नो इज्जत लीलाम गर्ने कलंक नारी होस् तँ |,"['नौटंकी', 'पैसाको', 'लागि', 'आफ्नो', 'इज्जत', 'लीलाम', 'गर्ने', 'कलंक', 'नारी', 'होस्', 'तँ', '|']","['B-profanity', 'B-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'I-character_assasination', 'O', 'O']","['0', '1', '1', '1', '1', '1', '1', '1', '1', '1', '_', '_']",7,1,,,
12,simulation_ipv,shr,तलाई लाज सरम छैन है कुकुर्नी तँ मर्नु नि किन बाचेको |,"['तलाई', 'लाज', 'सरम', 'छैन', 'है', 'कुकुर्नी', 'तँ', 'मर्नु', 'नि', 'किन', 'बाचेको', '|']","['O', 'B-profanity', 'I-profanity', 'I-profanity', 'O', 'B-profanity', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O']","['_', '0', '0', '0', '_', '0', '_', '1', '1', '1', '1', '_']",5,1,,,
13,simulation_ipv,shr,जा भाग् थोपडा नि हेर्न मन लाग्दैन अहिले त तेरो चटकी |,"['जा', 'भाग्', 'थोपडा', 'नि', 'हेर्न', 'मन', 'लाग्दैन', 'अहिले', 'त', 'तेरो', 'चटकी', '|']","['O', 'O', 'B-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'I-profanity', 'O', 'O', 'O', 'B-profanity', 'O']","['_', '_', '0', '0', '0', '0', '0', '_', '_', '_', '0', '_']",6,1,,,
14,simulation_ipv,shr,तेरो स्वार्थ लुकेको औतार किन हेर्नु परेको यो आखाले |,"['तेरो', 'स्वार्थ', 'लुकेको', 'औतार', 'किन', 'हेर्नु', 'परेको', 'यो', 'आखाले', '|']","['O', 'B-profanity', 'I-profanity', 'I-profanity', 'O', 'O', 'O', 'O', 'O', 'O']","['_', '0', '0', '0', '_', '_', '_', '_', '_', '_']",7,1,,,
